Store,Price,Quantity
5039,49.0,10
1283,49.0,2
981,49.0,3
5330,49.0,5
1993,49.0,1
2559,49.0,5
2130,49.0,8
2861,49.0,3
1735,49.0,2
1392,49.0,11
393,49.0,1
3658,49.0,5
2712,49.0,5
3461,49.0,3
752,49.0,2
1626,49.0,3
1504,49.0,3
5041,49.0,3
3280,49.0,3
4410,49.0,5
5331,49.0,3
486,49.0,3
865,49.0,3
2557,49.0,3
1870,49.0,3
2354,49.0,3
703,49.0,5
2862,49.0,3
3644,49.0,3
3279,49.0,6
2132,49.0,3
1736,49.0,6
4458,49.0,4
1394,49.0,5
1286,49.0,4
408,49.0,6
292,49.0,2
3462,49.0,4
51,49.0,5
861,49.0,9
2539,49.0,2
1624,49.0,7
5707,49.0,3
757,49.0,1
2131,49.0,8
2359,49.0,11
1387,49.0,6
3465,49.0,3
982,49.0,4
3624,49.0,6
2864,49.0,6
3281,49.0,4
1287,49.0,9
1737,49.0,6
2715,49.0,5
5045,49.0,1
2545,49.0,8
531,49.0,3
5703,49.0,3
866,49.0,3
3861,49.0,3
3641,49.0,3
1627,49.0,4
2360,49.0,4
1396,49.0,5
3464,49.0,3
3284,49.0,2
984,49.0,3
2869,49.0,5
1281,49.0,7
50,49.0,4
1738,49.0,3
2717,49.0,1
755,49.0,4
5334,49.0,1
402,49.0,5
1995,49.0,4
1841,49.0,6
1628,49.0,3
533,49.0,4
2362,49.0,3
5046,49.0,7
1290,49.0,5
987,49.0,5
3864,49.0,4
758,49.0,3
3283,49.0,2
2133,49.0,5
2678,49.0,4
410,49.0,3
2872,49.0,9
1739,49.0,3
5319,49.0,4
4472,49.0,6
2000,49.0,1
3286,49.0,1
532,49.0,4
988,49.0,6
3860,49.0,8
1873,49.0,4
52,49.0,3
2001,49.0,4
2716,49.0,9
3473,49.0,8
5049,49.0,3
1741,49.0,7
5342,49.0,45
1289,49.0,4
759,49.0,6
5709,49.0,5
1632,49.0,4
1510,49.0,4
159,49.0,7
3702,49.0,5
1388,49.0,4
2367,49.0,5
1740,49.0,9
3868,49.0,4
534,49.0,3
1997,49.0,3
5728,49.0,3
5048,49.0,2
2850,49.0,2
3474,49.0,7
4476,49.0,4
990,49.0,5
2564,49.0,9
3285,49.0,4
1631,49.0,9
1874,49.0,3
3595,49.0,5
868,49.0,11
3475,49.0,5
1988,49.0,2
2142,49.0,9
5051,49.0,2
643,49.0,4
5347,49.0,1
2874,49.0,4
2567,49.0,8
1633,49.0,5
762,49.0,3
1294,49.0,9
171,49.0,3
1864,49.0,6
989,49.0,4
3659,49.0,3
295,49.0,3
2724,49.0,2
5743,49.0,8
1401,49.0,3
3476,49.0,4
5346,49.0,6
5055,49.0,7
2509,49.0,4
3867,49.0,2
2366,49.0,10
4475,49.0,3
2881,49.0,19
1634,49.0,5
867,49.0,2
2004,49.0,5
3293,49.0,4
1875,49.0,4
1293,49.0,8
290,49.0,4
1404,49.0,3
5745,49.0,3
2566,49.0,10
5348,49.0,4
3471,49.0,2
4440,49.0,4
5057,49.0,3
991,49.0,3
2370,49.0,3
2006,49.0,2
2145,49.0,20
872,49.0,3
414,49.0,7
765,49.0,5
2725,49.0,3
645,49.0,3
3709,49.0,3
298,49.0,2
4436,49.0,4
1635,49.0,10
1403,49.0,5
2002,49.0,4
2884,49.0,4
2574,49.0,15
5350,49.0,3
172,49.0,6
3295,49.0,3
875,49.0,3
2108,49.0,4
5735,49.0,4
5058,49.0,4
3477,49.0,4
1881,49.0,4
994,49.0,7
768,49.0,5
648,49.0,6
297,49.0,4
3876,49.0,12
174,49.0,5
5355,49.0,3
2882,49.0,4
2371,49.0,9
3710,49.0,2
4483,49.0,3
1884,49.0,10
2713,49.0,3
1361,49.0,3
2005,49.0,19
3296,49.0,5
1639,49.0,5
3371,49.0,1
370,49.0,2
1300,49.0,5
3712,49.0,4
993,49.0,2
5751,49.0,4
1163,49.0,4
5352,49.0,3
767,49.0,5
1848,49.0,4
2577,49.0,2
2727,49.0,16
2387,49.0,10
4484,49.0,7
2886,49.0,5
5060,49.0,3
877,49.0,3
3483,49.0,3
417,49.0,3
2575,49.0,5
2141,49.0,4
992,49.0,4
5713,49.0,25
1406,49.0,6
878,49.0,3
2388,49.0,3
1637,49.0,6
3482,49.0,3
2014,49.0,2
651,49.0,6
3717,49.0,4
5056,49.0,3
4488,49.0,2
2576,49.0,1
3886,49.0,9
2149,49.0,5
995,49.0,6
420,49.0,8
1405,49.0,2
1883,49.0,4
1642,49.0,7
2889,49.0,7
63,49.0,5
2007,49.0,6
1165,49.0,5
3480,49.0,4
644,49.0,3
5063,49.0,6
3720,49.0,5
5753,49.0,9
535,49.0,9
753,49.0,3
1299,49.0,4
1886,49.0,11
4451,49.0,2
2402,49.0,2
3829,49.0,6
5359,49.0,3
69,49.0,4
880,49.0,0
2891,49.0,14
1523,49.0,3
1155,49.0,3
3722,49.0,4
2730,49.0,2
1742,49.0,7
773,49.0,2
1513,49.0,2
2404,49.0,4
3884,49.0,6
881,49.0,6
653,49.0,6
3484,49.0,3
1890,49.0,11
5064,49.0,6
3726,49.0,1
4497,49.0,3
1170,49.0,2
2890,49.0,3
1745,49.0,9
2153,49.0,7
2733,49.0,2
2584,49.0,3
776,49.0,4
655,49.0,3
1065,49.0,3
3887,49.0,5
1411,49.0,2
537,49.0,8
1305,49.0,6
2403,49.0,8
391,49.0,4
5065,49.0,2
5361,49.0,4
2010,49.0,1
1171,49.0,6
1747,49.0,13
4499,49.0,5
1514,49.0,4
656,49.0,5
1410,49.0,4
1071,49.0,7
302,49.0,3
70,49.0,3
5029,49.0,5
3889,49.0,3
1307,49.0,5
2541,49.0,5
2405,49.0,5
5368,49.0,1
423,49.0,3
775,49.0,5
538,49.0,2
3728,49.0,3
1748,49.0,3
2154,49.0,3
3488,49.0,2
3893,49.0,3
778,49.0,5
5071,49.0,6
1645,49.0,7
2587,49.0,3
1068,49.0,5
1400,49.0,4
540,49.0,4
657,49.0,5
1894,49.0,3
3731,49.0,3
2894,49.0,4
304,49.0,3
5369,49.0,2
1891,49.0,5
1749,49.0,14
1172,49.0,4
3489,49.0,4
4506,49.0,9
175,49.0,3
2740,49.0,3
3896,49.0,3
5066,49.0,4
1515,49.0,7
2158,49.0,4
661,49.0,3
779,49.0,11
2588,49.0,9
1173,49.0,5
2908,49.0,7
518,49.0,3
5732,49.0,16
2412,49.0,4
310,49.0,2
2021,49.0,3
3492,49.0,2
427,49.0,3
4482,49.0,3
2693,49.0,4
3241,49.0,4
5376,49.0,2
1066,49.0,4
1650,49.0,4
1249,49.0,7
3733,49.0,1
5772,49.0,3
1897,49.0,6
5076,49.0,2
1699,49.0,3
658,49.0,3
2019,49.0,4
309,49.0,4
2152,49.0,6
467,49.0,1
887,49.0,1
4509,49.0,4
781,49.0,6
5374,49.0,3
3497,49.0,3
1416,49.0,2
1167,49.0,1
1253,49.0,5
179,49.0,5
5078,49.0,7
5777,49.0,7
1899,49.0,5
259,49.0,0
1750,49.0,1
3294,49.0,4
541,49.0,18
2421,49.0,3
2592,49.0,6
3810,49.0,2
180,49.0,4
429,49.0,11
5373,49.0,4
1310,49.0,5
727,49.0,3
3297,49.0,16
5779,49.0,3
891,49.0,2
1177,49.0,3
308,49.0,4
5070,49.0,5
3498,49.0,6
1900,49.0,4
1072,49.0,3
1754,49.0,6
2912,49.0,2
539,49.0,4
3888,49.0,4
666,49.0,12
2023,49.0,8
2223,49.0,4
2593,49.0,5
1521,49.0,3
4511,49.0,4
3298,49.0,3
782,49.0,4
5781,49.0,5
431,49.0,4
1859,49.0,27
1180,49.0,4
2385,49.0,7
1075,49.0,2
1753,49.0,24
3499,49.0,3
182,49.0,5
5075,49.0,2
1951,49.0,6
3891,49.0,4
2225,49.0,9
1418,49.0,5
1312,49.0,3
3300,49.0,4
1522,49.0,4
5385,49.0,6
2591,49.0,20
667,49.0,3
1655,49.0,5
1181,49.0,2
2426,49.0,2
432,49.0,1
764,49.0,3
544,49.0,2
2914,49.0,7
1077,49.0,1
79,49.0,5
2751,49.0,3
4508,49.0,2
894,49.0,5
2222,49.0,7
2024,49.0,5
1520,49.0,5
317,49.0,4
1419,49.0,7
3894,49.0,3
1182,49.0,4
130,49.0,4
2429,49.0,3
3501,49.0,3
543,49.0,2
5080,49.0,3
5386,49.0,4
1311,49.0,3
1647,49.0,3
2910,49.0,5
2720,49.0,2
3303,49.0,3
4514,49.0,19
2233,49.0,3
1422,49.0,5
318,49.0,2
2015,49.0,10
663,49.0,1
1184,49.0,3
2595,49.0,4
3502,49.0,4
4200,49.0,4
2427,49.0,2
542,49.0,2
1658,49.0,4
5085,49.0,3
184,49.0,3
896,49.0,5
784,49.0,3
1313,49.0,10
5387,49.0,8
1525,49.0,4
3304,49.0,1
4520,49.0,2
1083,49.0,3
2597,49.0,4
2032,49.0,7
434,49.0,3
4201,49.0,3
3406,49.0,6
1132,49.0,5
2417,49.0,4
1659,49.0,1
1898,49.0,1
2921,49.0,2
5087,49.0,3
1314,49.0,3
902,49.0,3
647,49.0,4
786,49.0,4
2239,49.0,9
1524,49.0,4
5388,49.0,6
1085,49.0,3
3305,49.0,1
2035,49.0,5
4202,49.0,4
1657,49.0,4
1178,49.0,30
547,49.0,7
2596,49.0,12
1318,49.0,4
5090,49.0,3
901,49.0,4
599,49.0,10
2922,49.0,4
1423,49.0,2
1905,49.0,4
2428,49.0,4
2237,49.0,17
3510,49.0,6
1080,49.0,5
2038,49.0,4
5389,49.0,1
436,49.0,6
1660,49.0,4
1183,49.0,8
185,49.0,2
1518,49.0,8
1421,49.0,7
903,49.0,4
4526,49.0,8
671,49.0,4
2599,49.0,6
551,49.0,6
2920,49.0,3
2242,49.0,6
3511,49.0,2
1088,49.0,3
2040,49.0,6
1316,49.0,3
789,49.0,6
4209,49.0,3
5054,49.0,5
1661,49.0,6
2600,49.0,2
188,49.0,8
2438,49.0,6
4531,49.0,4
5390,49.0,2
1185,49.0,8
2238,49.0,6
1413,49.0,2
2045,49.0,5
1086,49.0,10
1662,49.0,2
5092,49.0,1
787,49.0,4
1908,49.0,11
2924,49.0,3
3516,49.0,5
3308,49.0,3
2230,49.0,2
1529,49.0,12
4285,49.0,5
2766,49.0,4
2037,49.0,1
556,49.0,2
1424,49.0,7
2441,49.0,3
1087,49.0,15
1321,49.0,5
673,49.0,4
437,49.0,4
1648,49.0,4
1912,49.0,3
3518,49.0,5
2247,49.0,6
1528,49.0,12
4277,49.0,5
1703,49.0,15
2764,49.0,8
3741,49.0,6
3310,49.0,2
676,49.0,3
791,49.0,4
5096,49.0,5
1909,49.0,4
1090,49.0,3
75,49.0,5
307,49.0,3
2445,49.0,4
5396,49.0,9
190,49.0,3
4286,49.0,5
2609,49.0,2
3319,49.0,5
442,49.0,5
908,49.0,12
3747,49.0,11
796,49.0,6
557,49.0,3
2767,49.0,4
677,49.0,2
1665,49.0,4
3520,49.0,21
1913,49.0,3
1193,49.0,5
5097,49.0,5
1317,49.0,5
2245,49.0,4
2444,49.0,2
1427,49.0,4
194,49.0,2
77,49.0,5
2048,49.0,4
406,49.0,2
3748,49.0,2
4283,49.0,5
1267,49.0,4
331,49.0,3
675,49.0,3
5099,49.0,9
907,49.0,2
1758,49.0,1
2244,49.0,4
1663,49.0,3
1141,49.0,4
553,49.0,4
5326,49.0,5
3523,49.0,6
196,49.0,5
2929,49.0,3
1430,49.0,7
2446,49.0,11
1532,49.0,2
3324,49.0,5
3749,49.0,4
794,49.0,6
4564,49.0,5
5795,49.0,4
1833,49.0,7
2049,49.0,6
80,49.0,4
674,49.0,4
2771,49.0,5
899,49.0,2
4278,49.0,3
3522,49.0,3
5104,49.0,3
330,49.0,5
2611,49.0,5
5398,49.0,5
1666,49.0,5
1533,49.0,3
2928,49.0,3
2447,49.0,2
1761,49.0,3
1428,49.0,11
797,49.0,6
1914,49.0,12
4288,49.0,3
1324,49.0,6
3328,49.0,4
2932,49.0,3
2251,49.0,2
5747,49.0,4
3525,49.0,5
910,49.0,8
1094,49.0,4
195,49.0,4
2777,49.0,4
5105,49.0,6
1664,49.0,3
2612,49.0,9
3751,49.0,3
1535,49.0,6
793,49.0,3
85,49.0,3
559,49.0,5
1916,49.0,71
2050,49.0,1
1195,49.0,1
4553,49.0,7
2614,49.0,9
3331,49.0,4
148,49.0,6
1431,49.0,3
1667,49.0,3
5113,49.0,3
4295,49.0,6
915,49.0,4
1097,49.0,3
1762,49.0,7
447,49.0,4
800,49.0,0
1194,49.0,3
197,49.0,6
83,49.0,2
562,49.0,3
2615,49.0,0
4567,49.0,3
3527,49.0,23
2250,49.0,2
3313,49.0,3
913,49.0,4
1668,49.0,1
1274,49.0,3
1433,49.0,6
200,49.0,4
560,49.0,6
2782,49.0,3
2056,49.0,7
5403,49.0,5
916,49.0,2
1197,49.0,6
1540,49.0,3
2616,49.0,3
1764,49.0,11
5118,49.0,3
2253,49.0,4
3332,49.0,2
1099,49.0,4
1669,49.0,7
449,49.0,4
1327,49.0,5
1434,49.0,1
2051,49.0,8
1538,49.0,2
1759,49.0,3
3529,49.0,4
2257,49.0,2
1671,49.0,3
912,49.0,3
1198,49.0,4
5823,49.0,4
452,49.0,0
2617,49.0,2
5337,49.0,3
5116,49.0,4
198,49.0,1
801,49.0,7
3336,49.0,3
672,49.0,2
1329,49.0,10
563,49.0,6
