"(35.552755, -97.63571)"
"(36.561341, -82.16869)"
"(33.859815, -79.7542)"
"(26.698526, -81.9178)"
"(33.38934, -79.32638)"
"(32.718232, -102.73458)"
"(34.282877, -81.61641)"
"(34.413907, -79.36512)"
"(37.123196, -85.27561)"
"(31.249042, -85.40605)"
"(34.714045, -81.60496)"
"(32.983408, -80.17627)"
"(32.813518, -79.85899)"
"(34.195705, -79.80977)"
"(41.247536, -89.92848)"
"(31.986249, -81.20259)"
"(35.10425, -81.69232)"
"(40.786048, -99.7424)"
"(41.372528, -89.44315)"
"(31.260995, -81.49832)"
"(34.840717, -82.44234)"
""
"(42.106972, -91.27531)"
"(34.68862, -79.92315)"
"(42.026209, -97.41741)"
"(38.72926, -90.65332)"
"(28.564077, -80.81695)"
"(36.851953, -82.77056)"
"(37.976008, -100.82503)"
"(30.092679, -94.16377)"
"(34.478139, -82.6455)"
"(36.866845, -87.47617)"
"(37.425687, -87.495)"
"(35.47066, -86.45974)"
"(36.1832, -85.52054)"
"(34.784028, -87.02767)"
"(34.281423, -85.23825)"
"(37.372314, -85.3549)"
"(38.881082, -99.32559)"
"(27.483817, -81.42131)"
"(35.357522, -86.21484)"
"(35.687286, -85.787)"
"(35.441378, -84.61975)"
"(41.736434, -92.72123)"
"(36.522968, -82.51162)"
"(36.240331, -86.29271)"
"(34.167893, -86.82506)"
"(34.780699, -84.93994)"
"(36.528448, -87.34142)"
"(35.861763, -84.70042)"
"(36.038042, -89.38613)"
"(36.426933, -89.0727)"
"(36.388997, -86.4548)"
"(40.560167, -73.90891)"
"(34.759947, -87.62705)"
"(35.963276, -83.20116)"
"(33.029838, -85.0745)"
"(35.259613, -87.37522)"
"(35.784708, -83.97956)"
"(36.186008, -83.27474)"
"(31.720029, -83.25093)"
"(35.929314, -85.05926)"
"(36.079259, -86.72584)"
"(36.355251, -82.18843)"
"(37.075624, -84.54437)"
"(34.849655, -82.59365)"
"(37.533559, -83.34547)"
"(37.825094, -87.56055)"
"(36.264069, -86.70566)"
"(29.171187, -82.10394)"
"(34.460537, -85.76744)"
"(35.219532, -84.86489)"
"(32.419846, -86.97783)"
"(34.345016, -89.50735)"
"(37.644426, -84.78862)"
"(37.98223, -84.17023)"
"(40.608245, -76.737545)"
"(36.151324, -86.8559)"
"(28.234624, -82.20022)"
"(34.196126, -90.59442)"
"(32.292761, -90.87184)"
"(37.704287, -85.86403)"
"(37.667872, -82.75876)"
